# ϕ Σext Σint E Ẽ   m mt q0 q1 qt s st m̂ m̂t q̂0 q̂1 q̂t ŝ ŝt
0.3 0.5 0.0 1   0.12534685091492628 0.0 0.08010998301666294 0.0 0.0 -0.035947686870512724 -0.03315804731217738 0.7153961842494688 0.8147333019313591 0.6737924216732452 0.8575849301109015 0.6940777444676252 8.114043343317759 10.34407633932269 0.26394608637571587 0.3783885886661258 0.3955105218252175 0.6606209243375311 0.32210431457370065
0.3 0.52 0.0 1   0.1253468509058988 0.0 0.07666002672657157 0.0 0.0 -0.035866527241593046 -0.033158047317932496 0.7146585235248905 0.8216877255402395 0.6737924216651683 0.8643616174493968 0.6937372644501293 8.0681345956847 10.344076339601989 0.2607525291305054 0.38595958947096853 0.3955105218387814 0.6825675961606532 0.32018360765086096
0.3 0.54 0.0 1   0.1253468508973252 0.0 0.07309172516400952 0.0 0.0 -0.035776942389173005 -0.03315804732570988 0.7137834418606096 0.8287418635562411 0.6737924216585678 0.8710842067261749 0.6933297525969808 8.025135926164758 10.344076339866588 0.257700817434772 0.3944887477754686 0.39551052185217705 0.7061882808339532 0.3183425484221471
0.3 0.56 0.0 1   0.12534685088828515 0.0 0.06941840832719315 0.0 0.0 -0.03567968476882059 -0.03315804733420214 0.7127769385839997 0.8358985802023201 0.6737924216524493 0.8777539411301819 0.6928577717832896 7.9849921105050266 10.344076340136263 0.25478904617620735 0.40407670039314153 0.39551052186622454 0.7316881210329362 0.31658061618291394
0.3 0.58 0.0 1   0.12534685088024294 0.0 0.0656401909271409 0.0 0.0 -0.03557546309282534 -0.03315804734175475 0.7116445550762236 0.8431620369815427 0.6737924216472883 0.8843731812222508 0.6923236876426034 7.947652810384241 10.344076340389792 0.252015307089285 0.4148480735878164 0.3955105218803101 0.75931648283847 0.31489728473956025
0.3 0.6 0.0 1   0.1253468508725248 0.0 0.061757021752040224 0.0 0.0 -0.035464927768893886 -0.033158047349163756 0.710391160069787 0.85053830526198 0.673792421642863 0.8909458419742956 0.6917295647870552 7.913075317203287 10.344076340637809 0.24937775695748368 0.42695931257870434 0.39551052189476915 0.7893815373825038 0.31329207245165075
0.3 0.62 0.0 1   0.12534685086521716 0.0 0.05775952622300017 0.0 0.0 -0.03534865212632642 -0.033158047357145094 0.7090206533020469 0.8580362902042593 0.6737924216397582 0.8974780244390348 0.6910770215984221 7.881228268006623 10.344076340872464 0.24687470998335498 0.44061018927662987 0.3955105219093348 0.8222716242340673 0.31176460821304025
0.3 0.64 0.0 1   0.12534685085822259 0.0 0.05366156285713241 0.0 0.0 -0.035227106534119056 -0.033158047364237754 0.707535534525123 0.8656691598618129 0.673792421637056 0.9039789686698658 0.6903670174856233 7.852096945311505 10.34407634110394 0.2445047666462891 0.45606134027757395 0.39551052192424996 0.8584877094464647 0.3103147226214134
0.3 0.66 0.0 1   0.1253468508513766 0.0 0.04944155229391622 0.0 0.0 -0.035100620093333666 -0.03315804737108425 0.7059362414312288 0.8734566308325372 0.6737924216348816 0.9104625578291463 0.6895995249823922 7.825691280225819 10.344076341335452 0.2422670023640758 0.4736621655910245 0.39551052193993297 0.8986948722930266 0.30894258141140096
0.3 0.68 0.0 1   0.12534685084470518 0.0 0.04508836937977544 0.0 0.0 -0.03496931910523311 -0.033158047377804714 0.7042200631045392 0.8814288137429893 0.6737924216334746 0.9169498361536939 0.6887729911072585 7.802058783932026 10.344076341565941 0.2401612622304941 0.4938976671627419 0.39551052195646885 0.9438085110363226 0.3076488948465811
0.3 0.7 0.0 1   0.12534685083831534 0.0 0.04058099228043677 0.0 0.0 -0.034833018889739255 -0.033158047384406225 0.7023792110323401 0.8896331393232778 0.6737924216329281 0.9234735433965761 0.6878833813328531 7.781307177075351 10.344076341794675 0.23818866044212095 0.5174726973397238 0.39551052197387526 0.9951489925578579 0.30643527468244586
0.3 0.72 0.0 1   0.12534685083223363 0.0 0.03587910875901823 0.0 0.0 -0.03469101247413061 -0.033158047390866696 0.7003970436987417 0.8981480229277538 0.6737924216335157 0.9300870811286079 0.6869223096833503 7.763648078412876 10.34407634201676 0.23635251701304127 0.5454779675881157 0.3955105219919608 1.0547455932189072 0.30530490755155026
