# ϕ Σext Σint E Ẽ   m mt q0 q1 qt s st m̂ m̂t q̂0 q̂1 q̂t ŝ ŝt
# saveξτ_α0.4_N301_K5-1.jld seedξ=1 ry=0.3  dx=0.1 dump=0.4/0.5
0.4 0.1 0.0 1   0.028853290628905046 0.0 0.02808589475294942 0.0 0.0 -0.03566168821219106 -0.03447478663342867 0.8855756728992931 0.8873220255069513 0.8713748232898273 0.8888501099319204 0.8782814559241544 9.262233121874548 9.997331551626312 0.5118638609061021 0.520223578034166 0.5515072610409933 0.592957878636585 0.5298728798972502
0.4 0.2 0.0 1   0.028853290492159043 0.0 0.02564714642570853 0.0 0.0 -0.036205838960635436 -0.034474787077784695 0.8946978650783406 0.9016928295210332 0.8713748242302993 0.9046226295083446 0.8825909915673192 8.676851545371045 9.997331535673311 0.47666847398805967 0.5124504197980579 0.5515072609115267 0.6517552896549819 0.5089908665151455
0.4 0.3 0.0 1   0.02885329265891233 0.0 0.021600321007189668 0.0 0.0 -0.03631736276420783 -0.03447478797985409 0.899033106435765 0.9148519010465315 0.8713748262487129 0.9195328311781987 0.8846902219411715 8.23843080495779 9.997331414769327 0.44459019066367456 0.5304118762810435 0.5515072520412067 0.7374536043063129 0.4903048619539249
0.4 0.4 0.0 1   0.02885329271476656 0.0 0.016254082681188553 0.0 0.0 -0.03613598698266336 -0.03447478808790376 0.8990925010733022 0.9280075680538068 0.8713748264737926 0.9346730226942859 0.8848286203708084 7.9363132086800015 9.997331407239292 0.4155804213381142 0.5828086261054092 0.5515072514424255 0.8699074071231243 0.4742911843760063
0.4 0.5 0.0 1   0.028853292847921798 0.0 0.008525778094625736 0.0 0.0 -0.03572471501587973 -0.03447478819138299 0.8949721002254856 0.9435699024574403 0.871374826725879 0.9516700608489946 0.8829542635207761 7.7656111709348865 9.99733139627725 0.3900726818890348 0.7033290969248763 0.5515072505694399 1.1074680548275468 0.460817658758886
0.4 0.52 0.0 1   0.02885329289134979 0.0 0.0064801375883327674 0.0 0.0 -0.03561193243169646 -0.03447478821104353 0.8935074122041792 0.9474787291534223 0.8713748267826633 0.9556585713045962 0.8822609028670946 7.750195955808181 9.997331393323385 0.3854374885450431 0.746469277076878 0.5515072503321027 1.1849706561355362 0.45842771760554313
0.4 0.54 0.0 1   0.028853292946110966 0.0 0.004092337620859032 0.0 0.0 -0.035481755567499176 -0.03447478823044993 0.8916727874419693 0.9520243725897948 0.8713748268447606 0.9601400331461168 0.8813831301890577 7.744633487074475 9.997331389829915 0.3809710053776408 0.8053049479697114 0.5515072500498035 1.286998310791796 0.45615979036037596
0.4 0.56 0.0 1   0.02885329302452127 0.0 0.0009767534968341263 0.0 0.0 -0.03531538754298321 -0.03447478825018373 0.8891054080680518 0.95799610177597 0.8713748269198351 0.9657739309850841 0.8801421396014429 7.7572911366291395 9.997331385162008 0.37667515191569095 0.9006777701754662 0.5515072496696095 1.4454658393032132 0.45405954101572876

# saveξτ_α0.4_N301_K5-1.jld seedξ=1 ry=0.3  -> dx=0.05 dump=0.4/0.5
0.4 0.5 0.0 1   0.02885329284793464 0.0 0.008525773864676012 0.0 0.0 -0.035724714993884965 -0.03447478819138312 0.8949720999500304 0.9435699029066753 0.871374826725879 0.9516700613114808 0.8829542633905614 7.765611176564522 9.997331396277238 0.39007268176390547 0.7033291032428396 0.5515072505694386 1.1074680642991437 0.4608176587644541
0.4 0.52 0.0 1   0.028853292891350545 0.0 0.00648013732396091 0.0 0.0 -0.0356119324316965 -0.034474788211043536 0.893507412204179 0.9474787291534223 0.8713748267826631 0.9556585713045962 0.8822609028670945 7.7501959558081825 9.9973313933234 0.3854374885450432 0.7464692770768794 0.5515072503321033 1.1849706561355382 0.4584277176055434
0.4 0.54 0.0 1   0.028853292946118898 0.0 0.004092336412103714 0.0 0.0 -0.03548175556749918 -0.03447478823044996 0.8916727874419691 0.952024372589795 0.8713748268447611 0.960140033146118 0.8813831301890575 7.7446334870744264 9.997331389829894 0.38097100537763523 0.8053049479696917 0.5515072500498023 1.2869983107918146 0.4561597903603721
0.4 0.56 0.0 1   0.02885329302453751 0.0 0.0009767526280846095 0.0 0.0 -0.035315387542983266 -0.034474788250183803 0.8891054080680518 0.95799610177597 0.8713748269198356 0.9657739309850839 0.8801421396014435 7.7572911366292026 9.997331385161988 0.37667515191569745 0.9006777701754916 0.5515072496696092 1.445465839303211 0.45405954101573265
0.4 0.562 0.0 1   0.028853293035249757 0.0 0.0005742021524923757 0.0 0.0 -0.03529420204851721 -0.03447478825227326 0.8887601947396527 0.9587754276906472 0.871374826929098 0.9664884428656431 0.8799743746536041 7.760662530591407 9.997331384546245 0.37625380038843204 0.9149955969270809 0.5515072496191903 1.468635555775093 0.453864279421384
